19:11:47 ,  , AT+SEND=1,,
19:11:50 ,  ,  OK AT+PING=?,AT+PING: (-140-0);(-20.0-20.0),OK ,
19:11:57 ,  , AT+PING=?,AT+PING: (-140-0);(-20.0-20.0),OK ,
19:12:00 ,  , AT+SEND=1,,
19:12:03 ,  ,  OK ,
19:12:09 , Hut , AT+SEND=1,,
19:12:13 , Hut ,  OK ,
19:12:14 , Hut , AT+NJS=?,AT+NJS: (0;1),OK ,
19:12:17 , Hut , AT+PING=?,AT+PING: (-140-0);(-20.0-20.0),OK ,
19:12:21 , Hut , AT+NLC=?,AT+NLC: (-20.0-20.0);(1-),OK ,
19:12:29 , Hut , AT+NJS=?,AT+NJS: (0;1),OK AT+PING=?,AT+PING: (-140-0);(-20.0-20.0),OK AT+NLC=?,AT+NLC: (-20.0-20.0);(1-),OK ,
19:12:33 , Hut , AT+SEND=1,,
19:12:37 , Hut ,  OK ,
