18:59:58 , Hut , AT+SEND=1,,Notes about the hut
19:00:01 , Hut ,  OK ,Notes about the hut
19:00:03 , Hut , AT+PING=?,AT+PING: (-140-0);(-20.0-20.0),OK ,Notes about the hut
19:00:04 , Hut , AT+NLC=?,AT+NLC: (-20.0-20.0);(1-),OK ,Notes about the hut
